"id	title	link	snippet",,,,,,,,,,,,,,,,
"191	Presumed asymptomatic carrier transmission of COVID-19	https://jamanetwork.com/journals/jama/article-abstract/2762028	Methods| In January 2020", we enrolled a familial cluster of 5 patients with fever and respiratory symptoms who were admitted to the Fifth People's Hospital of Anyang, Anyang, China, and 1 asymptomatic family member. This study was approved by the local …,,,,,,,,,,,,
infected people primarily rely on symptomatic treatment and supportive care. Conclusions. There,,,,,,,,,,,,,,,,
has been a rapid surge in research in response to the outbreak of COVID-19 … ,,,,,,,,,,,,,,,,
"
302	[HTML][HTML] The effect of control strategies to reduce social mixing on outcomes of the COVID-19 epidemic in Wuhan, China: a modelling study	https://www.sciencedirect.com/science/article/pii/S2468266720300736	… Combined with nosocomial infections", the risk of COVID-19 infection is potentially amplified with,,,,,,,,,,,,,,,
close … the compartmental model we present is not equipped to explicitly consider transmission,,,,,,,,,,,,,,,,
within health … to estimate, since the true number of cases that can transmit infection at a … ,,,,,,,,,,,,,,,
"
303	[HTML][HTML] Fair allocation of scarce medical resources in the time of Covid-19	https://www.nejm.org/doi/full/10.1056/NEJMsb2005114	Allocating Scarce Medical Resources for Covid-19 The Covid-19 pandemic",,,,,,,,,,,,,,,,
has already stressed health care systems throughout the world, requiring,,,,,,,,,,,,,,,
rationing of medical equipment and care. The authors ...,,,,,,,,,,,,,,,,
"
304	[PDF][PDF] Immune responses in COVID-19 and potential vaccines: Lessons learned from SARS and MERS epidemic	http://apjai-journal.org/wp-content/uploads/2020/03/1.pdf	… to-human transmission through close contact", which occurs via spraying droplets from infected,,,,,,,,,,,,,,,
in- dividual through their cough or sneeze. COVID-19 has a prob- able asymptomatic incubation,,,,,,,,,,,,,,,,
period between 2 and 14 days during which the virus can be transmitted.20 For this … ,,,,,,,,,,,,,,,,
"
305	[PDF][PDF] Considerations for quarantine of individuals in the context of containment for coronavirus disease (COVID-19): interim guidance, 19 March 2020	https://apps.who.int/iris/bitstream/handle/10665/331497/WHO-2019-nCoV-IHR_Quarantine-2020.2-eng.pdf	… Health Emergency of International Concern.1 As the outbreak continues to evolve", Member States,,,,,,,,,,,,,,,
are considering options to prevent introduction of the disease to new areas or to reduce,,,,,,,,,,,,,,,,
human-to-human transmission in areas where the virus that causes COVID-19 is already … ,,,,,,,,,,,,,,,,
"
306	Hydroxychloroquine and azithromycin as a treatment of COVID-19: results of an open-label non-randomized clinical trial	https://www.sciencedirect.com/science/article/pii/S0924857920300996	… as of March 14 th 2020 [5]. Thus", there is an urgent need for an effective treatment to treat,,,,,,,,,,,,,,,
symptomatic patients but also to decrease the duration of virus carriage in order to limit the,,,,,,,,,,,,,,,,
transmission in the community. Among candidate drugs to treat COVID-19, repositioning of old … ,,,,,,,,,,,,,,,
"
307	[HTML][HTML] COVID-19 in children: the link in the transmission chain	https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30236-X/fulltext	Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), which causes coronavirus disease 2019 (COVID-19), emerged from Wuhan, Hubei province, China, in late 2019 and has now reached pandemic status. 1 Coronaviruses typically cause mild upper respiratory …
308	Relation between chest CT findings and clinical conditions of coronavirus disease (COVID-19) pneumonia: a multicenter study	https://www.ajronline.org/doi/abs/10.2214/AJR.20.22976	… Given the striking speed of virus transmission", the ongoing COVID-19 outbreak has undoubtedly,,,,,,,,,,,,,,,
been linked to panicked memories of two previous betacoronavirus outbreaks in the 21st century:,,,,,,,,,,,,,,,,
SARS-CoV [10, 11] and Middle East respiratory syndrome coronavirus (MERS … ,,,,,,,,,,,,,,,
"
309	[HTML][HTML] Estimation of the reproductive number of novel coronavirus (COVID-19) and the probable outbreak size on the Diamond Princess cruise ship: A data-driven …	https://www.sciencedirect.com/science/article/pii/S1201971220300916	… Because human-to-human transmission of COVID-19 has been confirmed (Huang et al.", 2020),,,,,,,,,,,,,,,
and there is limited space and relative high population density on the ship, it is of crucial,,,,,,,,,,,,,,,
importance to evaluate the transmissibility of COVID-19, and to forecast the probable size of … ,,,,,,,,,,,,,,,
"
310	[PDF][PDF] Demographic science aids in understanding the spread and fatality rates of COVID-19	https://www.medrxiv.org/content/medrxiv/early/2020/03/31/2020.03.15.20036293.full.pdf	… COVID-19 transmission chains that begin in younger populations may have a low number of",,,,,,,,,,,,,,,,
severe cases and thus go longer undetected, (9, 10) with countries thereby slow to raise the alarm …,,,,,,,,,,,,,,
9. Y. Bai, et al., Presumed Asymptomatic Carrier Transmission of COVID-19 … ,,,,,,,,,,,,,,
"
311	From the frontlines of COVID‐19–How prepared are we as obstetricians: a commentary	https://obgyn.onlinelibrary.wiley.com/doi/abs/10.1111/1471-0528.16192	… analyze if COVID-19 could be transmitted via vaginal delivery since no vaginal mucosa",,,,,,,,,,,,,,,,
samples were taken. Previous studies have shown the possibility of materno-fetal,,,,,,,,,,,,,,,,
transmission of human coronavirus (HCoV)10 with evidence … ,,,,,,,,,,,,,,,,
"
312	[HTML][HTML] COVID-19: towards controlling of a pandemic	https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30673-5/fulltext?utm_campaign=tlcoronavirus20&utm_source=twitter&utm_medium=social	… The role", if any, of asymptomatic carriers in transmitting infection is … Google Scholar. The pandemic,,,,,,,,,,,,,,
of COVID-19 has clearly entered a new stage with rapid spread in … society must understand and,,,,,,,,,,,,,,,,
practise measures for self-protection and for prevention of transmission of infection … ,,,,,,,,,,,,,,,,
"
313	COVID-19 may transmit through aerosol	https://link.springer.com/article/10.1007/s11845-020-02218-2	Dear Editor, On Feb 18, the National Health Commission of the People's Republic of China published the guidelines for the diagnosis and treatment of COVID-19 infection (trial version 6)[1]. With the awareness and understanding of the disease, the guidelines show that the …
314	[HTML][HTML] Online mental health services in China during the COVID-19 outbreak	https://www.thelancet.com/journals/lanpsy/article/PIIS2215-0366(20)30077-8/fulltext	… professionals and health authorities to provide online mental health services during the",,,,,,,,,,,,,,,,
COVID-19 outbreak. Fast transmission of the virus between people hinders traditional,,,,,,,,,,,,,,,,
face-to-face psychological interventions. By contrast, provision of online mental health services … ,,,,,,,,,,,,,,,
"
315	[HTML][HTML] Successful containment of COVID-19: the WHO-Report on the COVID-19 outbreak in China	https://link.springer.com/article/10.1007/s15010-020-01409-4	… It can be transmitted by droplets from asymptomatic or oligosymptomatic patients and possibly",,,,,,,,,,,,,,,,
through aerosols in health care environments. The route of transmission and the spectrum of,,,,,,,,,,,,,,,,
disease (COVID-19) has motivated many researchers to use models of influenza … ,,,,,,,,,,,,,,,,
"
316	[HTML][HTML] Coronavirus disease 2019 (COVID-19)	https://www.uptodate.com/contents/coronavirus-disease-2019-covid-19/print?search=coronavirus&source=search_result&selectedTitle=1~56&usage_type=default&display_rank=1	… 6",7]. The closest RNA sequence similarity is to two bat coronaviruses, and it appears likely that,,,,,,,,,,,,,,
bats are the primary source; whether COVID-19 virus is transmitted directly from bats … In an analysis,,,,,,,,,,,,,,,,
of 157 locally acquired COVID-19 cases in Singapore, transmission during the … ,,,,,,,,,,,,,,,
"
317	Anti-HCV, nucleotide inhibitors, repurposing against COVID-19	https://www.sciencedirect.com/science/article/pii/S0024320520302253	… countries. Human to human transmission is confirmed for COVID-19 by China a month",,,,,,,,,,,,,,,,
ago. Based on the World Health Organization (WHO) reports, SARS HCoV is responsible,,,,,,,,,,,,,,,
for >8000 cases with confirmed 774 deaths. Additionally … ,,,,,,,,,,,,,,,,
"
318	COVID-19 in Singapore—current experience: critical global issues that require attention and action	https://jamanetwork.com/journals/jama/article-abstract/2761890	… Clear", accurate, and timely transmission of information from trusted sources is critical during an,,,,,,,,,,,,,,
epidemic … personnel who work in health care facilities caring for patients with COVID-19 are under …,,,,,,,,,,,,,,,,
health care workers are shunned because of fear that they may transmit infection … ,,,,,,,,,,,,,,,,
"
319	Cardiovascular considerations for patients, health care workers, and health systems during the coronavirus disease 2019 (COVID-19) pandemic	https://www.sciencedirect.com/science/article/pii/S0735109720346374	… There are numerous considerations specific to the care of CV patients that should be taken into",,,,,,,,,,,,,,,,
account in order to minimize risk for COVID-19 transmission to patients and healthcare workers,,,,,,,,,,,,,,,,
which are outlined in Table 7. One important mechanism to help prevent … ,,,,,,,,,,,,,,,,
"
320	[HTML][HTML] Assessing the impact of reduced travel on exportation dynamics of novel coronavirus infection (COVID-19)	https://www.mdpi.com/2077-0383/9/2/601/htm	… The endpoint for data collection was set at 6 February 2020. 2.2. Statistical Model.",,,,,,,,,,,,,,,,
We considered the impact of reduced travel volumes on COVID-19 transmission,,,,,,,,,,,,,,,,
dynamics outside China. Specifically, we quantified the impact … ,,,,,,,,,,,,,,,
"
321	[HTML][HTML] Real-time forecasts of the COVID-19 epidemic in China from February 5th to February 24th, 2020	https://www.sciencedirect.com/science/article/pii/S2468042720300051	… Abstract. The initial cluster of severe pneumonia cases that triggered the COVID-19 epidemic",,,,,,,,,,,,,,,,
was identified in Wuhan, China in December 2019. While early cases of the disease were linked,,,,,,,,,,,,,,,
to a wet market, human-to-human transmission has driven the rapid spread of the virus … ,,,,,,,,,,,,,,,
"
322	Systematic review of COVID‐19 in children show milder cases and a better prognosis than adults	https://onlinelibrary.wiley.com/doi/abs/10.1111/apa.15270	… Until now", there have been no reports of COVID-19 transmission within neonatal intensive care,,,,,,,,,,,,,,,
units, but although children seem to have less symptoms than adult patients also newborn infants,,,,,,,,,,,,,,,
can suffer from respiratory distress and are likely to transmit the disease if sick8 … ,,,,,,,,,,,,,,,,
"
323	Estimating the reproductive number and the outbreak size of Novel Coronavirus disease (COVID-19) using mathematical model in Republic of Korea	https://www.e-epih.org/journal/view.php?number=1078	… 𝑖 가 105 최소가 되는 감염전파율을 Matlab 의 “lsqcurvefit” 패키지를 사용하여 추정하였다. (Table",,,,,,,,,,,,,,,,
1) 106 107 Table 1. Parameters of the COVID-19 transmission model in South Korea 108 Symbol,,,,,,,,,,,,,,,,
Description Value Reference 𝛽 감염전파율 (Transmission rate ) 0.1389* data fitted … ,,,,,,,,,,,,,,,,
"
324	Early epidemiological assessment of the transmission potential and virulence of coronavirus disease 2019 (COVID-19) in Wuhan City: China, January-February, 2020	https://www.medrxiv.org/content/10.1101/2020.02.12.20022434v2.abstract	Background: Since the first cluster of cases was identified in Wuhan City, China, in December, 2019, coronavirus disease 2019 (COVID-19) has rapidly spread across China, causing multiple introductions in 109 countries/territories/areas as of March 10th. Despite …
325	From Containment to Mitigation of COVID-19 in the US	https://jamanetwork.com/journals/jama/article-abstract/2763187	… 2 is primarily spread by droplets", is likely to be more easily transmitted than seasonal … 2 Combining,,,,,,,,,,,,,,,
these characteristics and the emergence of community transmission, it is likely that … As a result,,,,,,,,,,,,,,,
COVID-19 containment is no longer realistic and further emphasis on containment … ,,,,,,,,,,,,,,,,
"
326	Similarity in case fatality rates (CFR) of COVID-19/SARS-COV-2 in Italy and China	http://www.jidc.org/index.php/journal/article/view/32146445	… been dominated by two large clusters of outbreaks in Northern Italy", south of Milan, with mainly,,,,,,,,,,,,,,
local transmission the source of infections. Contact tracing has failed to identify patient zero in,,,,,,,,,,,,,,,,
one of the outbreaks. As of 28 February 2020, twenty-one cases of COVID-19 have died … ,,,,,,,,,,,,,,,
"
327	Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study	https://www.sciencedirect.com/science/article/pii/S0140673620305663	… known as 2019-nCoV)", from these patients with virus-infected pneumonia,1, 2 which was later,,,,,,,,,,,,,
designated coronavirus disease 2019 (COVID-19) in February,2020, by WHO. 3. Although the,,,,,,,,,,,,,,
outbreak is likely to have started from a zoonotic transmission event associated with a … ,,,,,,,,,,,,,,,,
"
328	[PDF][PDF] On a knife's edge of a COVID-19 pandemic: is containment still possible	https://www.phrp.com.au/wp-content/uploads/2020/03/PHRP3012000.pdf	… people.17 This means asymptomatic cases may be as likely to transmit infection as … young people",,,,,,,,,,,,,,,,
may be a reservoir for asymptomatic, mildly symptomatic or pre-symptomatic transmission … Wuhan,,,,,,,,,,,,,,,
nine infants aged younger than 12 months were identified with COVID-19 up to … ,,,,,,,,,,,,,,,,
"
329	[PDF][PDF] 2019 Novel Coronavirus (COVID-19) Outbreak: A Review of the Current Literature	https://www.researchgate.net/profile/Hilmi_Kodaz/project/EJMO-Eurasian-Journal-of-Medicine-and-Oncology/attachment/5e452f033843b06506da8bc0/AS:858074545922053@1581592322946/download/2019+Novel+Coronavirus+COVID19+Outbreak+A+Review+of+the+Current+Literature-12220.pdf?context=ProjectUpdatesLog	… of the world with hospital-acquired infectious cases", had a mortality rate of 10%, and was,,,,,,,,,,,,,,
transmitted to 8000 … is known that both of them are zoonotic viruses showing hospital-acquired,,,,,,,,,,,,,,,,
and human-to-human transmission.[21, 22] Similar dynamics apply for COVID-19 that was … ,,,,,,,,,,,,,,,
"
330	Early transmission patterns of coronavirus disease 2019 (COVID-19) in travellers from Wuhan to Thailand, January 2020	https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.8.2000097	We report two cases of coronavirus disease 2019 (COVID-19) in travellers from Wuhan, China to Thailand. Both were independent introductions on separate flights, discovered with thermoscanners and confirmed with RT-PCR and genome sequencing. Both cases do not …
331	First known person-to-person transmission of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in the USA	https://www.sciencedirect.com/science/article/pii/S0140673620306073	… Transmission occurred between close household contacts", from an index travel-associated case,,,,,,,,,,,,,,,
who subsequently transmitted the infection to … No additional cases of COVID-19 were identified,,,,,,,,,,,,,,,,
through active symptom monitoring of several hundred community and health … ,,,,,,,,,,,,,,,,
"
332	[HTML][HTML] COVID-19–the role of mass gatherings	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7102534/	… Such high rates of transmission are made possible by high titers of virus in the … of minimal symptoms",,,,,,,,,,,,,,,,
[ 8 ]. As with other coronoviruses, asymptomatic infected persons may also transmit the infection …,,,,,,,,,,,,,,,
The COVID-19 spread illustrates the role of MGs in exacerbation of the scope of … ,,,,,,,,,,,,,,,,
"
333	Understanding unreported cases in the COVID-19 epidemic outbreak in Wuhan, China, and the importance of major public health interventions	https://www.mdpi.com/2079-7737/9/3/50	… usable. Biology 2020", 9(3), 50; https://doi.org/10.3390/biology9030050. Article.,,,,,,,,,,,,,,
Understanding Unreported Cases in the COVID-19 Epidemic Outbreak in Wuhan,,,,,,,,,,,,,,,,
China, and the Importance of Major Public Health Interventions … ,,,,,,,,,,,,,,,
"
334	[HTML][HTML] COVID-19 and the risk to health care workers: a case report	https://annals.org/aim/fullarticle/2763329	… Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan", China:,,,,,,,,,,,,,,,
a retrospective cohort study. Lancet 2020. Early dynamics of transmission and control of,,,,,,,,,,,,,,,,
COVID-19: a mathematical modelling study. Lancet Infect Dis 2020. View More … ,,,,,,,,,,,,,,,,
"
335	[HTML][HTML] Modified SEIR and AI prediction of the epidemics trend of COVID-19 in China under public health interventions	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7139011/	… The most recent epidemiological data of the COVID-19 outbreak in mainland China was retrieved",,,,,,,,,,,,,,,,
based on daily numbers reported by the National … The transmission rate, β, controls the rate of spread,,,,,,,,,,,,,,
which represents the probability of transmitting disease between a … ,,,,,,,,,,,,,,,,
"
336	Antibodies in infants born to mothers with COVID-19 pneumonia	https://jamanetwork.com/journals/jama/article-abstract/2763854	… Clinical characteristics and intrauterine vertical transmission potential of COVID-19 infection in",,,,,,,,,,,,,,,,
nine pregnant women: a retrospective review of medical records. Lancet. 2020;395(10226):809-,,,,,,,,,,,,,,,,
815. doi:10.1016/S0140-6736(20)30360-3 3. World Health Organization … ,,,,,,,,,,,,,,,,
"
337	[HTML][HTML] COVID-19 control in China during mass population movements at New Year	https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30421-9/fulltext	… exacerbate the spread of COVID-19 across China. Moreover", individuals typically return from,,,,,,,,,,,,,,,
their Lunar New Year holiday after only 1 week, which is shorter than the longest suspected,,,,,,,,,,,,,,,
incubation period of the disease. 18: Li Q; Guan X; Wu P; et al. Early transmission dynamics in … ,,,,,,,,,,,,,,,,
"
338	Comorbidities and multi-organ injuries in the treatment of COVID-19	https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30558-4/fulltext	… disease", liver disease, kidney disease, or malignant tumours.3–5 These patients often die of,,,,,,,,,,,,,
their original comorbidities; we therefore need to accurately evaluate all original comorbidities,,,,,,,,,,,,,,,,
of individuals with COVID-19. In addition to the risk of group transmission of an infectious … ,,,,,,,,,,,,,,,,
"
339	The clinical dynamics of 18 cases of COVID-19 outside of Wuhan, China	https://erj.ersjournals.com/content/early/2020/03/17/13993003.00398-2020.short	
340	[HTML][HTML] COVID-19: Zoonotic aspects	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7128549/	… an animal host are proven to be some of the deadliest diseases known [ 2 ", 3 ]. COVID-19 is,,,,,,,,,,,,,,,
thought to be transmitted from the animals, though it has not yet been clear exactly from which,,,,,,,,,,,,,,,
animal, however the animals have been the sources of transmission as described in Fig … ,,,,,,,,,,,,,,,
"
341	[HTML][HTML] Occupational risks for COVID-19 infection	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7107962/	… Table 1. Probable occupationally acquired COVID-19 among 25 locally transmitted cases in",,,,,,,,,,,,,,,,
Singapore, 4 … At this event, healthy company workers interacted with other infected participants,,,,,,,,,,,,,,
which resulted in the transmission of the virus to three employees based in Singapore … ,,,,,,,,,,,,,,,,
"
342	Possible vertical transmission of SARS-CoV-2 from an infected mother to her newborn	https://jamanetwork.com/journals/jama/article-abstract/2763853	… 2 can be transmitted in utero from an infected mother to her infant before birth. A series of 9",,,,,,,,,,,,,,,,
pregnant women found no mother-child transmission. 4 We report a newborn with elevated IgM,,,,,,,,,,,,,,,,
antibodies to SARS-CoV-2 born to a mother with coronavirus disease 2019 (COVID-19) … ,,,,,,,,,,,,,,,,
"
343	Clinical and epidemiological features of 36 children with coronavirus disease 2019 (COVID-19) in Zhejiang, China: an observational cohort study	https://www.sciencedirect.com/science/article/pii/S1473309920301985	… Paediatric patients acquired COVID-19 by clear transmission routes", including close contact with,,,,,,,,,,,,,,,
family members, a history of exposure to epidemic areas, or both of these. No other sources, such,,,,,,,,,,,,,
as a hospital stay or unclear routes of transmission, were identified … ,,,,,,,,,,,,,,,
"
344	Covid-19 and community mitigation strategies in a pandemic	https://www.bmj.com/content/368/bmj.m1066	… most commonly transmitted at such events.12 Even when the R 0 is low", the crowd density during,,,,,,,,,,,,,,,
mass gatherings predisposes to high rates of transmission. On 27 February 2020 Saudi Arabia,,,,,,,,,,,,,,,,
suspended the year round Umrah pilgrimage, and the transmission of covid-19 in … ,,,,,,,,,,,,,,,
"
345	Asymptomatic coronavirus infection: MERS-CoV and SARS-CoV-2 (COVID-19)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7102602/	… permissions are granted for free by Elsevier for as long as the COVID-19 resource centre … number",,,,,,,,,,,,,,,,
of cases is alarming and brought the fear of having viral transmission from asymptomatic … One,,,,,,,,,,,,,,,,
report indicated that an asymptomatic person was able to transmit the virus to another … ,,,,,,,,,,,,,,,,
"
346	[PDF][PDF] Coronavirus Infections in Children Including COVID-19	http://www.epi.uff.br/wp-content/uploads/2020/01/Zimmerman_Curtis_Coronavirus_Infections_in_Children_IncludingCOVID19.pdf	… emerged in Saudi Arabia in 2012", Middle East respiratory syn- drome coronavirus (MERS-CoV),,,,,,,,,,,,,,,
which is transmitted from drom … CoV-2 Early in the SARS-CoV-2 outbreak, it was shown that,,,,,,,,,,,,,,,
person-to-person transmission was the … COVID-19 indicates coronavirus disease 2019 … ,,,,,,,,,,,,,,,,
"
347	[PDF][PDF] Novel coronavirus COVID-19: an overview for emergency clinicians	https://www.coronavirusdisease.nl/wp-content/uploads/2020/03/Coronavirus-COVID-19.pdf	… Both the WHO and CDC guidelines similarly emphasize the importance of strict hand hygiene",,,,,,,,,,,,,,,,
in curtailing COVID-19 transmission … Given case reports of transmission of COVID-19 from,,,,,,,,,,,,,,,,
asymptomatic carri- ers,27 its spread and containment will face unprecedented challenges … ,,,,,,,,,,,,,,,
"
348	Radiological findings from 81 patients with COVID-19 pneumonia in Wuhan, China: a descriptive study	https://www.sciencedirect.com/science/article/pii/S1473309920300864	… has substantial capacity to infect humans", and is capable of human-to-human transmission …,,,,,,,,,,,,,,,
Patients with confirmed COVID-19 pneumonia who were admitted to Wuhan Jinyintan hospital,,,,,,,,,,,,,,,,
or … The reconstructed images were transmitted to the workstation and picture archiving and … ,,,,,,,,,,,,,,,,
"
349	CT imaging and differential diagnosis of COVID-19	https://journals.sagepub.com/doi/abs/10.1177/0846537120913033	… CT Imaging and Differential Diagnosis of COVID-19. Wei-cai Dai", MD , Han-wen Zhang, MD ,,,,,,,,,,,,,
Juan Yu, MD, PhD , Hua-jian Xu, MD , Huan Chen, MD , Si-ping Luo, MM , Hong Zhang, MM ,,,,,,
Li-hong Liang, MM , Xiao-liu Wu, BMT , Yi Lei, MD , and Fan Lin, MD, PhD … ,,,,,,,,
"
350	SARS-CoV-2 transmission in patients with cancer at a tertiary care hospital in Wuhan, China	https://jamanetwork.com/journals/jamaoncology/article-abstract/2763673	… In December 2019", an outbreak of 2019 novel coronavirus disease (COVID-19) occurred in Wuhan,,,,,,,,,,,,,,,
Hubei, which has been linked to the severe adult respiratory syndrome coronavirus 2,,,,,,,,,,,,,,,
(SARS-CoV-2). It is characterized by rapid human-to-human transmission from droplet … ,,,,,,,,,,,,,,,,
"
351	Lack of COVID-19 Transmission on an International Flight	https://www.cmaj.ca/content/lack-covid-19-transmission-international-flight	In response to Wendy Glauser's article, Communication, transparency key as Canada faces new coronavirus threat, we would like to share the public health response to the first Canadian cases of COVID-19. Case details have been published.(1) The patients traveled …
352	Open access epidemiological data from the COVID-19 outbreak	https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30119-5/fulltext	… outbreak Coronavirus disease 2019 (COVID-19) is spreading rapidly across China", and as of,,,,,,,,,,,,,,,
16-Feb,2020, had been reported in 26 … recor- ding of epidemiological information is important,,,,,,,,,,,,,,
to understand trans- missibility, risk of geographic spread, routes of transmission, and risk … ,,,,,,,,,,,,,
"
353	Clinical and CT features in pediatric patients with COVID‐19 infection: Different points from adults	https://onlinelibrary.wiley.com/doi/abs/10.1002/ppul.24718	… Respiratory droplets are the main route of transmission", but can also be transmitted by contact,,,,,,,,,,,,,,,
and digestive tract.6 The incubation period is about 1 to 14 days, and is supposed could be,,,,,,,,,,,,,,,
up to 24 days. Crowds are generally susceptible to COVID‐19 … ,,,,,,,,,,,,,,,,
"
354	[HTML][HTML] COVID-19: faecal–oral transmission?	https://www.nature.com/articles/s41575-020-0295-7	Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection, which causes coronavirus disease 2019 (COVID-19), first emerged in China in December 2019 and has now spread worldwide, with a reported 351,731 confirmed cases and 15,374 deaths as of …
355	Potential Presymptomatic Transmission of SARS-CoV-2, Zhejiang Province, China, 2020.	https://europepmc.org/article/med/32091386	… Articles. Potential Presymptomatic Transmission of SARS-CoV-2", Zhejiang Province,,,,,,,,,,,,,,,
China, 2020. Zhen-Dong Tong … Abstract of each citation. Early estimation of the case,,,,,,,,,,,,,,,
fatality rate of COVID-19 in mainland China: a data-driven analysis … ,,,,,,,,,,,,,,,,
"
356	Clinical characteristics and imaging manifestations of the 2019 novel coronavirus disease (COVID-19): A multi-center study in Wenzhou city, Zhejiang, China	https://www.sciencedirect.com/science/article/pii/S0163445320300992	… illegally 2",3, 4. Evidence has also been found that it can be transmitted from human to human,,,,,,,,,,,,,,
through respiratory droplets, contact and even via fecal-oral transmission 3,4, 5 … sometimes sharply,,,,,,,,,,,,,
increase during the host shift [10,11], in the case of COVID-19 from possible … ,,,,,,,,,,,,,,
"
357	Investigating the Impact of Asymptomatic Carriers on COVID-19 Transmission	https://www.medrxiv.org/content/10.1101/2020.03.18.20037994v3.abstract	Coronavirus disease 2019 (COVID-19) is a novel human respiratory disease caused by the SARS-CoV-2 virus. Asymptomatic carriers of the virus display no clinical symptoms but are known to be contagious. Recent evidence reveals that this sub-population, as well as …
358	[HTML][HTML] The COVID-19 outbreak and psychiatric hospitals in China: managing challenges through mental health service reform	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098035/	… Compared to those run by the Ministry of Health", these hospitals are usually located in,,,,,,,,,,,,,,,
suburban areas with poorer protective equipment and training for infectious diseases,,,,,,,,,,,,,,,,
which is associated with higher risk of the COVID-19 transmission … ,,,,,,,,,,,,,,,,
"
359	[HTML][HTML] Covid-19 in critically ill patients in the Seattle region—case series	https://www.nejm.org/doi/full/10.1056/NEJMoa2004500	Abstract Background Community transmission of coronavirus 2019",,,,,,,,,,,,,,,,
(Covid-19) was detected in the state of Washington in February 2020. Methods,,,,,,,,,,,,,,,,
We identified patients from nine Seattle-area hospitals w...,,,,,,,,,,,,,,,,
"
360	[HTML][HTML] Epidemiology of covid-19 in a long-term care facility in King County, Washington	https://www.nejm.org/doi/full/10.1056/NEJMoa2005412	Abstract Background Long-term care facilities are high-risk settings for severe",,,,,,,,,,,,,,,,
outcomes from outbreaks of Covid-19, owing to both the advanced age and,,,,,,,,,,,,,,,
frequent chronic underlying health conditions...,,,,,,,,,,,,,,,,
"
361	What will be the economic impact of COVID-19 in the US? Rough estimates of disease scenarios	https://www.nber.org/papers/w26867	… Figure: Illustrative simulations of a transmission model of COVID-19 A baseline simulation with",,,,,,,,,,,,,,,,
case isolation only (red); a simulation with social distancing in place throughout the epidemic,,,,,,,,,,,,,,,,
flattening the curve (green), and a simulation with more effective social distancing in … ,,,,,,,,,,,,,,,
"
362	Report 13: Estimating the number of infections and the impact of non-pharmaceutical interventions on COVID-19 in 11 European countries	https://spiral.imperial.ac.uk/handle/10044/1/77731	… coming days and weeks to provide reassurance that transmission of SARS-Cov-2 is slowing.",,,,,,,,,,,,,,,,
SUGGESTED CITATION Seth Flaxman, Swapnil Mishra, Axel Gandy et al. Estimating the number,,,,,,,,,,,,,,
of infections and the impact of non- pharmaceutical interventions on COVID-19 in 11 … ,,,,,,,,,,,,,,,,
"
363	[PDF][PDF] Epidemiologic and Clinical Characteristics of 91 Hospitalized Patients with COVID-19 in Zhejiang, China: A retrospective, multi-centre case series	https://www.medrxiv.org/content/medrxiv/early/2020/02/25/2020.02.23.20026856.full.pdf	… transmitted and could be rapidly diagnosed COVID-19 in Zhejiang. Introduction … wrongly diagnosed.",,,,,,,,,,,,,,,,
Some COVID-19 cases had atypical symptoms or were asymptomatic. Furthermore, asymptomatic,,,,,,,,,,,,,,,
persons are potential sources of SARS-CoV-2 transmission.20 It appears that … ,,,,,,,,,,,,,,,,
"
364	Time course of lung changes on chest CT during recovery from 2019 novel coronavirus (COVID-19) pneumonia	https://pubs.rsna.org/doi/abs/10.1148/radiol.2020200370	… also lead to acute respiratory distress syndrome (ARDS) (1", 5). With the gradual recognition of,,,,,,,,,,,,,,,
COVID-19 pneumonia, professional consensus, guidelines, and criteria were steadily established,,,,,,,,,,,,,
with the aim of preventing transmission and facilitating diagnosis and treatment (6-8 … ,,,,,,,,,,,,,,,,
"
365	[HTML][HTML] Outbreak of COVID-19–an urgent need for good science to silence our fears?	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7052000/	… travel history to Wuhan", or contact with an individual with confirmed COVID-19, there was … in Wuhan,,,,,,,,,,,,,,
and elsewhere,(8) familial clustering outside Wuhan,(9) and local transmission in other … which,,,,,,,,,,,,,,
meant that every individual who was taken ill could potentially transmit the infection … ,,,,,,,,,,,,,,,,
"
366	Predicting the cumulative number of cases for the COVID-19 epidemic in China from early data	https://arxiv.org/abs/2002.12298	… The general method in [5]", was applied to the COVID-19 epidemic in Wuhan, China,,,,,,,,,,,,,,
